LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
torbrowser_alpha,web_and_social,0.0037404411175809816,9.107589721679688e-05,0.8481061458587646,0.019295164379820467,0.06332374994571392,0.00011014938354492188,1.1763880252838135,0.09701782354651178,0.0036053078035473583,0.00012493133544921875,0.5011081695556641,0.018897318409617028,9.878504991531372,9.878504991531372,9.878504991531372,0.0,0.0,0.0,0.0,0.0,9.878504991531372,391232.07441947935,267.3481465327063,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.964601769911503,113,58,3.2941176470588234,17,10,16,19,6,18,22,37,24,42,15,7,3,2,2,2,2,2,3,3,4,2,22,1,2474,5,1,0,0,24,1,2485,156,2641,3864788,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.021069013039103017,0.00010609626770019531,1.0711359977722168,0.06044656796938433,0.07458696915553166,0.00010991096496582031,1.297050952911377,0.1280098872310266,0.029054353258005036,0.00012993812561035156,1.3059351444244385,0.09177394716784486,9.965643167495728,9.965643167495728,9.965643167495728,0.0,0.0,0.0,0.0,0.0,9.965643167495728,60904.34804846832,47.46306806797503,-1,-1,-1,1,-1,1,-1,-1,-1,-1,6.530612244897959,49,27,3.8095238095238093,21,18,3,4,4,16,18,27,19,2,4,2,2,18,5,2,6,4,3,2,2,4,45,0,322,25,0,0,2,6,2,343,130,473,606951,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.10807063113683942,0.00013494491577148438,3.2601051330566406,0.3734937475682194,0.27595805420595054,0.00014019012451171875,5.01354193687439,0.838872812240815,0.15314862413226432,0.00045418739318847656,3.2601051330566406,0.44949568694746705,3.0710198879241943,1.4442307949066162,4.6978089809417725,1.6267890930175781,3.2601051330566406,3.2601051330566406,3.2601051330566406,0.0,9.40214490890503,9017.304117457352,9.25320773535408,-1,1,-1,-1,-1,-1,-1,-1,1,1,4.222222222222222,9,9,2.6666666666666665,6,3,6,7,3,3,9,2,3,2,3,0,3,3,3,3,2,2,0,0,0,0,31,0,26,14,0,0,0,1,1,53,34,87,84782,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.01259580807047058,8.20159912109375e-05,0.6748201847076416,0.04861924198901416,0.1108131210009257,0.00011992454528808594,1.418529987335205,0.19659528994766834,0.013387415427288026,8.20159912109375e-05,0.819580078125,0.06167579013018968,9.308302164077759,9.308302164077759,9.308302164077759,0.0,0.0,0.0,0.0,0.0,9.308302164077759,112825.83885737584,79.39149234453522,1,1,-1,1,-1,1,-1,1,-1,-1,15.682926829268293,41,51,3.5,12,16,2,15,3,8,3,2,2,3,5,12,2,16,3,2,3,2,2,2,4,2,31,0,639,11,0,0,1,3,2,655,84,739,1050217,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.01151862108796612,9.107589721679688e-05,3.768878936767578,0.1343057476311134,0.07964867845587774,0.00012803077697753906,3.9493770599365234,0.3747303506945493,0.012881425896076241,0.0001220703125,4.232474088668823,0.16100862286397352,2.734527587890625,0.5564091205596924,4.912646055221558,2.1781184673309326,3.768878936767578,3.768878936767578,3.768878936767578,0.0,9.237934112548828,123141.92612119988,86.81594718353334,1,1,1,1,1,1,1,1,1,1,10.640625,64,56,2.65,20,10,3,10,6,7,5,6,11,15,2,15,10,2,2,3,3,3,2,2,3,2,10,0,708,2,1,0,3,4,0,693,109,802,1137577,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.010591466845523421,9.608268737792969e-05,0.560776948928833,0.03222343124692317,0.07352178810286696,9.608268737792969e-05,0.560776948928833,0.08623668966860341,0.01117906142804195,0.00011897087097167969,0.5296568870544434,0.03888150034863078,10.072484970092773,10.072484970092773,10.072484970092773,0.0,0.0,0.0,0.0,0.0,10.072484970092773,129790.11672707007,94.41562859847491,1,-1,1,-1,-1,-1,-1,-1,-1,-1,13.789473684210526,57,53,2.7586206896551726,29,9,11,2,2,2,21,2,23,30,31,34,3,8,3,2,2,3,2,9,2,3,55,0,795,6,0,0,2,11,1,814,137,951,1307309,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.01215139064160022,9.489059448242188e-05,1.3122098445892334,0.054964314225471274,0.05913318065275629,9.489059448242188e-05,1.5936880111694336,0.14308015325719897,0.015240411846049894,9.489059448242188e-05,1.5003118515014648,0.07101561784892314,9.951988935470581,9.951988935470581,9.951988935470581,0.0,0.0,0.0,0.0,0.0,9.951988935470581,111265.79894530805,82.29510757200953,-1,1,1,1,-1,-1,-1,-1,-1,-1,8.602739726027398,73,36,2.864864864864865,37,13,12,8,15,4,3,18,2,2,3,2,3,2,2,13,2,2,6,7,7,3,33,0,656,11,0,0,4,5,4,653,166,819,1107316,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.013564810177040877,0.00010204315185546875,1.2045159339904785,0.05233670607191345,0.09199902746412489,0.00011682510375976562,1.4790539741516113,0.16323173739672872,0.015893903180411964,0.00010204315185546875,1.6081700325012207,0.07514281908297951,9.997265100479126,9.997265100479126,9.997265100479126,0.0,0.0,0.0,0.0,0.0,9.997265100479126,101420.83758001043,73.72016172349764,-1,1,-1,-1,-1,1,1,-1,-1,-1,11.60377358490566,53,53,3.210526315789474,19,8,3,3,4,6,23,2,30,53,6,47,2,3,2,2,2,6,3,2,5,7,24,0,590,19,0,0,2,12,4,629,108,737,1013931,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.015071052854711359,0.0001289844512939453,1.7833640575408936,0.08206147216188003,0.09460182871137346,0.00013899803161621094,2.2327020168304443,0.232531951229221,0.017902625144064963,0.0001289844512939453,2.4761641025543213,0.11743695339789913,9.946894884109497,9.946894884109497,9.946894884109497,0.0,0.0,0.0,0.0,0.0,9.946894884109497,92645.49497473663,66.35236500331098,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,12.0,45,53,3.25,20,14,4,9,10,3,8,8,5,2,16,46,14,4,2,2,2,2,2,2,5,2,38,1,546,19,0,1,1,5,0,555,105,660,921535,192.168.37.39,94.23.150.81
torbrowser_alpha,web_and_social,0.09360104191059969,0.0001499652862548828,0.7396697998046875,0.12515816789394743,0.19004943578139596,0.0001499652862548828,1.0555729866027832,0.20406684587773588,0.17359151748510507,0.0001690387725830078,0.8565399646759033,0.20505774182650888,9.17290210723877,9.17290210723877,9.17290210723877,0.0,0.0,0.0,0.0,0.0,9.17290210723877,8687.217967486564,10.683641758551373,-1,1,1,1,-1,1,1,-1,1,-1,2.4166666666666665,12,4,2.375,8,4,4,3,3,2,3,2,2,2,2,2,3,2,2,4,2,2,2,2,0,0,59,0,11,12,0,0,3,1,0,52,46,98,79687,192.168.37.39,94.23.150.81
